Numer of labeled samples:26986   AUC:0.981
Numer of labeled samples:26972   AUC:0.981
Numer of labeled samples:26981   AUC:0.982
Numer of labeled samples:26977   AUC:0.981
Numer of labeled samples:26985   AUC:0.981
Numer of labeled samples:26987   AUC:0.982
Numer of labeled samples:26990   AUC:0.981
Numer of labeled samples:26983   AUC:0.981
Numer of labeled samples:27017   AUC:0.982
Numer of labeled samples:26986   AUC:0.981
Numer of labeled samples:26996   AUC:0.981
Numer of labeled samples:26995   AUC:0.981
Numer of labeled samples:26993   AUC:0.981
Numer of labeled samples:27021   AUC:0.981
Numer of labeled samples:27010   AUC:0.981
Numer of labeled samples:27022   AUC:0.981
Numer of labeled samples:26994   AUC:0.981
Numer of labeled samples:27009   AUC:0.981
Numer of labeled samples:26996   AUC:0.980
Numer of labeled samples:27019   AUC:0.980
Numer of labeled samples:27048   AUC:0.980
Numer of labeled samples:27026   AUC:0.980
Numer of labeled samples:27021   AUC:0.980
Numer of labeled samples:27044   AUC:0.981
Numer of labeled samples:27021   AUC:0.980
Numer of labeled samples:27044   AUC:0.980
Numer of labeled samples:27031   AUC:0.980
Numer of labeled samples:27044   AUC:0.981
Numer of labeled samples:27013   AUC:0.980
Numer of labeled samples:27032   AUC:0.980
Numer of labeled samples:27027   AUC:0.980
Numer of labeled samples:27038   AUC:0.980
Numer of labeled samples:27044   AUC:0.980
Numer of labeled samples:27071   AUC:0.980
Numer of labeled samples:27063   AUC:0.980
Numer of labeled samples:27104   AUC:0.981
Numer of labeled samples:27042   AUC:0.980
Numer of labeled samples:27035   AUC:0.979
Numer of labeled samples:27049   AUC:0.980
Numer of labeled samples:27053   AUC:0.980
Numer of labeled samples:27031   AUC:0.980
Numer of labeled samples:27052   AUC:0.980
Numer of labeled samples:27083   AUC:0.980
Numer of labeled samples:27030   AUC:0.980
Numer of labeled samples:27019   AUC:0.980
Numer of labeled samples:27077   AUC:0.980
Numer of labeled samples:27033   AUC:0.980
Numer of labeled samples:27002   AUC:0.979
Numer of labeled samples:27034   AUC:0.979
Numer of labeled samples:26990   AUC:0.979
Numer of labeled samples:27038   AUC:0.979
Numer of labeled samples:27039   AUC:0.979
Numer of labeled samples:27075   AUC:0.979
Numer of labeled samples:27039   AUC:0.977
Numer of labeled samples:27047   AUC:0.978
Numer of labeled samples:27074   AUC:0.979
Numer of labeled samples:27117   AUC:0.979
Numer of labeled samples:27044   AUC:0.980
Numer of labeled samples:26996   AUC:0.977
Numer of labeled samples:27088   AUC:0.979
Numer of labeled samples:27053   AUC:0.978
Numer of labeled samples:27087   AUC:0.979
Numer of labeled samples:27079   AUC:0.980
Numer of labeled samples:27076   AUC:0.979
Numer of labeled samples:27089   AUC:0.979
Numer of labeled samples:27074   AUC:0.979
Numer of labeled samples:27048   AUC:0.978
Numer of labeled samples:27115   AUC:0.978
Numer of labeled samples:27083   AUC:0.979
Numer of labeled samples:27068   AUC:0.979
Numer of labeled samples:27026   AUC:0.979
Numer of labeled samples:26963   AUC:0.978
Numer of labeled samples:27017   AUC:0.978
Numer of labeled samples:27027   AUC:0.978
Numer of labeled samples:27035   AUC:0.978
Numer of labeled samples:27026   AUC:0.977
Numer of labeled samples:27023   AUC:0.979
