Epoch:0   Accuracy:54.73
Epoch:1   Accuracy:65.42
Epoch:2   Accuracy:69.72
Epoch:3   Accuracy:73.07
Epoch:4   Accuracy:74.87
Epoch:5   Accuracy:76.75
Epoch:6   Accuracy:78.00
Epoch:7   Accuracy:78.76
Epoch:8   Accuracy:79.56
Epoch:9   Accuracy:79.54
Epoch:10   Accuracy:86.37
Epoch:11   Accuracy:87.96
Epoch:12   Accuracy:88.40
Epoch:13   Accuracy:88.41
Epoch:14   Accuracy:88.59
Epoch:15   Accuracy:89.41
Epoch:16   Accuracy:89.31
Epoch:17   Accuracy:89.72
Epoch:18   Accuracy:89.55
Epoch:19   Accuracy:90.01
Epoch:20   Accuracy:89.73
Epoch:21   Accuracy:90.01
Epoch:22   Accuracy:89.70
Epoch:23   Accuracy:89.74
Epoch:24   Accuracy:89.65
Epoch:25   Accuracy:90.44
Epoch:26   Accuracy:90.48
Epoch:27   Accuracy:90.23
Epoch:28   Accuracy:90.68
Epoch:29   Accuracy:90.58
Epoch:30   Accuracy:90.41
Epoch:31   Accuracy:90.61
Epoch:32   Accuracy:90.62
Epoch:33   Accuracy:90.86
Epoch:34   Accuracy:89.21
Epoch:35   Accuracy:90.51
Epoch:36   Accuracy:89.75
Epoch:37   Accuracy:90.79
Epoch:38   Accuracy:89.90
Epoch:39   Accuracy:89.92
Epoch:40   Accuracy:90.33
Epoch:41   Accuracy:90.07
Epoch:42   Accuracy:90.24
Epoch:43   Accuracy:89.75
Epoch:44   Accuracy:88.93
Epoch:45   Accuracy:89.79
Epoch:46   Accuracy:89.42
Epoch:47   Accuracy:89.24
Epoch:48   Accuracy:89.70
Epoch:49   Accuracy:89.48
Epoch:50   Accuracy:90.19
Epoch:51   Accuracy:89.50
Epoch:52   Accuracy:89.14
Epoch:53   Accuracy:88.92
Epoch:54   Accuracy:89.44
Epoch:55   Accuracy:90.18
Epoch:56   Accuracy:89.75
Epoch:57   Accuracy:88.36
Epoch:58   Accuracy:90.24
Epoch:59   Accuracy:89.33
Epoch:60   Accuracy:88.05
Epoch:61   Accuracy:88.90
Epoch:62   Accuracy:88.78
Epoch:63   Accuracy:88.37
Epoch:64   Accuracy:89.83
Epoch:65   Accuracy:89.75
Epoch:66   Accuracy:88.19
Epoch:67   Accuracy:89.87
Epoch:68   Accuracy:89.11
Epoch:69   Accuracy:89.86
Epoch:70   Accuracy:89.39
Epoch:71   Accuracy:90.28
Epoch:72   Accuracy:90.54
Epoch:73   Accuracy:90.44
Epoch:74   Accuracy:89.54
Epoch:75   Accuracy:89.65
Epoch:76   Accuracy:90.55
Epoch:77   Accuracy:89.72
Epoch:78   Accuracy:89.26
Epoch:79   Accuracy:87.73
Epoch:80   Accuracy:90.05
Epoch:81   Accuracy:88.95
Epoch:82   Accuracy:89.92
Epoch:83   Accuracy:89.21
Epoch:84   Accuracy:89.60
Epoch:85   Accuracy:89.41
Epoch:86   Accuracy:90.49
Epoch:87   Accuracy:89.17
Epoch:88   Accuracy:89.74
Epoch:89   Accuracy:89.72
Epoch:90   Accuracy:88.48
Epoch:91   Accuracy:89.64
Epoch:92   Accuracy:87.59
Epoch:93   Accuracy:90.16
Epoch:94   Accuracy:88.80
Epoch:95   Accuracy:90.47
Epoch:96   Accuracy:89.39
Epoch:97   Accuracy:90.10
Epoch:98   Accuracy:90.62
Epoch:99   Accuracy:90.32
Epoch:100   Accuracy:89.35
Epoch:101   Accuracy:90.16
Epoch:102   Accuracy:86.72
Epoch:103   Accuracy:90.38
Epoch:104   Accuracy:90.95
Epoch:105   Accuracy:90.21
Epoch:106   Accuracy:90.06
Epoch:107   Accuracy:90.04
Epoch:108   Accuracy:90.77
Epoch:109   Accuracy:89.87
Epoch:110   Accuracy:89.24
Epoch:111   Accuracy:91.31
Epoch:112   Accuracy:88.79
Epoch:113   Accuracy:90.68
Epoch:114   Accuracy:91.12
Epoch:115   Accuracy:88.95
Epoch:116   Accuracy:88.63
Epoch:117   Accuracy:89.71
Epoch:118   Accuracy:90.38
Epoch:119   Accuracy:91.16
Epoch:120   Accuracy:90.59
Epoch:121   Accuracy:91.16
Epoch:122   Accuracy:90.08
Epoch:123   Accuracy:91.56
Epoch:124   Accuracy:89.35
Epoch:125   Accuracy:90.26
Epoch:126   Accuracy:90.82
Epoch:127   Accuracy:89.47
Epoch:128   Accuracy:90.50
Epoch:129   Accuracy:91.31
Epoch:130   Accuracy:90.93
Epoch:131   Accuracy:90.76
Epoch:132   Accuracy:89.14
Epoch:133   Accuracy:89.73
Epoch:134   Accuracy:90.03
Epoch:135   Accuracy:91.40
Epoch:136   Accuracy:90.58
Epoch:137   Accuracy:90.49
Epoch:138   Accuracy:90.44
Epoch:139   Accuracy:88.84
Epoch:140   Accuracy:87.99
Epoch:141   Accuracy:91.51
Epoch:142   Accuracy:91.33
Epoch:143   Accuracy:90.85
Epoch:144   Accuracy:91.30
Epoch:145   Accuracy:90.25
Epoch:146   Accuracy:90.12
Epoch:147   Accuracy:91.45
Epoch:148   Accuracy:90.58
Epoch:149   Accuracy:90.29
Epoch:150   Accuracy:93.05
Epoch:151   Accuracy:92.98
Epoch:152   Accuracy:93.14
Epoch:153   Accuracy:93.03
Epoch:154   Accuracy:92.86
Epoch:155   Accuracy:92.80
Epoch:156   Accuracy:93.03
Epoch:157   Accuracy:92.89
Epoch:158   Accuracy:92.72
Epoch:159   Accuracy:93.02
Epoch:160   Accuracy:93.15
Epoch:161   Accuracy:92.77
Epoch:162   Accuracy:92.66
Epoch:163   Accuracy:93.12
Epoch:164   Accuracy:92.84
Epoch:165   Accuracy:92.87
Epoch:166   Accuracy:92.83
Epoch:167   Accuracy:92.76
Epoch:168   Accuracy:92.61
Epoch:169   Accuracy:92.95
Epoch:170   Accuracy:92.91
Epoch:171   Accuracy:92.77
Epoch:172   Accuracy:92.67
Epoch:173   Accuracy:92.51
Epoch:174   Accuracy:92.63
Epoch:175   Accuracy:92.65
Epoch:176   Accuracy:93.14
Epoch:177   Accuracy:92.64
Epoch:178   Accuracy:92.78
Epoch:179   Accuracy:92.42
Epoch:180   Accuracy:92.63
Epoch:181   Accuracy:92.87
Epoch:182   Accuracy:92.58
Epoch:183   Accuracy:92.30
Epoch:184   Accuracy:92.61
Epoch:185   Accuracy:92.37
Epoch:186   Accuracy:92.44
Epoch:187   Accuracy:92.20
Epoch:188   Accuracy:92.66
Epoch:189   Accuracy:92.61
Epoch:190   Accuracy:92.15
Epoch:191   Accuracy:92.29
Epoch:192   Accuracy:92.21
Epoch:193   Accuracy:92.10
Epoch:194   Accuracy:92.11
Epoch:195   Accuracy:92.32
Epoch:196   Accuracy:92.53
Epoch:197   Accuracy:92.06
Epoch:198   Accuracy:91.68
Epoch:199   Accuracy:92.27
Epoch:200   Accuracy:92.27
Epoch:201   Accuracy:91.75
Epoch:202   Accuracy:92.46
Epoch:203   Accuracy:92.21
Epoch:204   Accuracy:92.25
Epoch:205   Accuracy:92.20
Epoch:206   Accuracy:91.84
Epoch:207   Accuracy:92.33
Epoch:208   Accuracy:91.29
Epoch:209   Accuracy:91.86
Epoch:210   Accuracy:91.99
Epoch:211   Accuracy:91.55
Epoch:212   Accuracy:92.10
Epoch:213   Accuracy:91.77
Epoch:214   Accuracy:90.68
Epoch:215   Accuracy:91.55
Epoch:216   Accuracy:91.69
Epoch:217   Accuracy:91.70
Epoch:218   Accuracy:92.02
Epoch:219   Accuracy:90.68
Epoch:220   Accuracy:91.97
Epoch:221   Accuracy:91.50
Epoch:222   Accuracy:91.86
Epoch:223   Accuracy:92.45
Epoch:224   Accuracy:91.66
Epoch:225   Accuracy:91.63
Epoch:226   Accuracy:91.47
Epoch:227   Accuracy:91.49
Epoch:228   Accuracy:90.98
Epoch:229   Accuracy:91.87
Epoch:230   Accuracy:91.87
Epoch:231   Accuracy:92.08
Epoch:232   Accuracy:91.28
Epoch:233   Accuracy:91.59
Epoch:234   Accuracy:91.34
Epoch:235   Accuracy:91.90
Epoch:236   Accuracy:90.41
Epoch:237   Accuracy:91.48
Epoch:238   Accuracy:91.89
Epoch:239   Accuracy:91.21
Epoch:240   Accuracy:91.89
Epoch:241   Accuracy:86.55
Epoch:242   Accuracy:91.66
Epoch:243   Accuracy:91.12
Epoch:244   Accuracy:90.93
Epoch:245   Accuracy:92.19
Epoch:246   Accuracy:91.13
Epoch:247   Accuracy:91.57
Epoch:248   Accuracy:92.26
Epoch:249   Accuracy:90.81
Epoch:250   Accuracy:91.73
Epoch:251   Accuracy:91.05
Epoch:252   Accuracy:91.25
Epoch:253   Accuracy:90.71
Epoch:254   Accuracy:91.17
Epoch:255   Accuracy:91.34
Epoch:256   Accuracy:90.02
Epoch:257   Accuracy:91.01
Epoch:258   Accuracy:91.85
Epoch:259   Accuracy:90.25
Epoch:260   Accuracy:91.02
Epoch:261   Accuracy:90.83
Epoch:262   Accuracy:90.59
Epoch:263   Accuracy:91.32
Epoch:264   Accuracy:91.78
Epoch:265   Accuracy:91.20
Epoch:266   Accuracy:90.99
Epoch:267   Accuracy:91.05
Epoch:268   Accuracy:91.32
Epoch:269   Accuracy:90.61
Epoch:270   Accuracy:91.34
Epoch:271   Accuracy:89.95
Epoch:272   Accuracy:92.00
Epoch:273   Accuracy:90.47
Epoch:274   Accuracy:91.92
Epoch:275   Accuracy:92.01
Epoch:276   Accuracy:91.33
Epoch:277   Accuracy:91.67
Epoch:278   Accuracy:91.47
Epoch:279   Accuracy:91.29
Epoch:280   Accuracy:90.94
Epoch:281   Accuracy:91.62
Epoch:282   Accuracy:90.99
Epoch:283   Accuracy:91.50
Epoch:284   Accuracy:88.81
Epoch:285   Accuracy:90.09
Epoch:286   Accuracy:90.83
Epoch:287   Accuracy:89.81
Epoch:288   Accuracy:91.22
Epoch:289   Accuracy:91.03
Epoch:290   Accuracy:91.80
Epoch:291   Accuracy:91.18
Epoch:292   Accuracy:90.69
Epoch:293   Accuracy:91.58
Epoch:294   Accuracy:91.67
Epoch:295   Accuracy:90.05
Epoch:296   Accuracy:90.58
Epoch:297   Accuracy:90.26
Epoch:298   Accuracy:91.31
Epoch:299   Accuracy:90.96
Epoch:300   Accuracy:90.76
