Epoch:188   Accuracy:26.57
Epoch:189   Accuracy:24.74
Epoch:190   Accuracy:24.80
Epoch:191   Accuracy:24.61
Epoch:192   Accuracy:22.18
Epoch:193   Accuracy:23.82
Epoch:194   Accuracy:24.84
Epoch:195   Accuracy:23.91
Epoch:196   Accuracy:27.35
Epoch:197   Accuracy:27.22
Epoch:198   Accuracy:25.28
Epoch:199   Accuracy:28.85
Epoch:200   Accuracy:26.36
Epoch:201   Accuracy:25.63
Epoch:202   Accuracy:24.57
Epoch:203   Accuracy:25.66
Epoch:204   Accuracy:29.44
Epoch:205   Accuracy:22.41
Epoch:206   Accuracy:24.23
Epoch:207   Accuracy:23.04
Epoch:208   Accuracy:26.09
Epoch:209   Accuracy:30.35
Epoch:210   Accuracy:29.05
Epoch:211   Accuracy:28.22
Epoch:212   Accuracy:28.70
Epoch:213   Accuracy:11.57
Epoch:214   Accuracy:26.38
Epoch:215   Accuracy:24.69
Epoch:216   Accuracy:28.17
Epoch:217   Accuracy:21.69
Epoch:218   Accuracy:20.21
Epoch:219   Accuracy:13.76
Epoch:220   Accuracy:17.67
Epoch:221   Accuracy:19.63
Epoch:222   Accuracy:16.55
Epoch:223   Accuracy:20.70
Epoch:224   Accuracy:17.68
Epoch:225   Accuracy:23.82
Epoch:226   Accuracy:28.14
Epoch:227   Accuracy:28.67
Epoch:228   Accuracy:18.54
Epoch:229   Accuracy:23.57
Epoch:230   Accuracy:25.45
Epoch:231   Accuracy:21.23
Epoch:232   Accuracy:22.53
Epoch:233   Accuracy:20.47
Epoch:234   Accuracy:22.09
Epoch:235   Accuracy:17.51
Epoch:236   Accuracy:28.05
Epoch:237   Accuracy:21.49
Epoch:238   Accuracy:24.64
Epoch:239   Accuracy:24.07
Epoch:240   Accuracy:20.81
Epoch:241   Accuracy:19.35
Epoch:242   Accuracy:14.30
Epoch:243   Accuracy:11.15
Epoch:244   Accuracy:11.60
Epoch:245   Accuracy:20.75
Epoch:246   Accuracy:17.87
Epoch:247   Accuracy:23.21
Epoch:248   Accuracy:24.38
Epoch:249   Accuracy:23.32
Epoch:250   Accuracy:20.91
Epoch:251   Accuracy:30.91
Epoch:252   Accuracy:31.76
Epoch:253   Accuracy:27.25
Epoch:254   Accuracy:23.70
Epoch:255   Accuracy:23.00
Epoch:256   Accuracy:12.37
Epoch:257   Accuracy:10.26
Epoch:258   Accuracy:13.43
Epoch:259   Accuracy:4.58
Epoch:260   Accuracy:9.10
Epoch:261   Accuracy:9.18
Epoch:262   Accuracy:12.77
Epoch:263   Accuracy:13.69
